scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_exp_cod_21,Fishing,No Warming,exp,cod,21,temp,-0.002595249013773508,0.0028985025273295917,-0.8953757981244636,0.37278019982818666,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_22,Fishing,No Warming,exp,cod,22,temp,-0.005109725898322423,0.003359273641378925,-1.5210805798556402,0.13145970489041398,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_23,Fishing,No Warming,exp,cod,23,temp,-3.523339764036719e-4,0.0034090570627131117,-0.10335232585495813,0.9178945527106712,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_24,Fishing,No Warming,exp,cod,24,temp,0.00281130458971375,0.0031189727798973774,0.9013559232813342,0.3696089682105206,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_25,Fishing,No Warming,exp,cod,25,temp,-0.005750758933051901,0.0030741022246469703,-1.8707116786632942,0.06436891335363101,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_26,Fishing,No Warming,exp,cod,26,temp,0.0010627627242540255,0.0031890278163088847,0.3332560220450231,0.7396529702510213,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_27,Fishing,No Warming,exp,cod,27,temp,0.003830525404981408,0.0030745626804558022,1.2458765044313667,0.21578001645405145,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_28,Fishing,No Warming,exp,cod,28,temp,-0.0012684079154853072,0.0027093242763834694,-0.4681639353921991,0.6407069269082959,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_29,Fishing,No Warming,exp,cod,29,temp,0.0012309302582691783,0.003006894390568767,0.40936930213779227,0.683162019936806,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_3,Fishing,No Warming,exp,cod,3,temp,9.275796505944142e-4,0.0023931212147385024,0.387602451928358,0.699150819464532,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_30,Fishing,No Warming,exp,cod,30,temp,0.002023339496569351,0.0028144136563244705,0.7189204373076289,0.47390067762878296,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_4,Fishing,No Warming,exp,cod,4,temp,4.5633027638066896e-4,0.0025007189377965937,0.18247963394988553,0.8555832904445373,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_5,Fishing,No Warming,exp,cod,5,temp,1.7237297220759585e-4,0.0029440821040098535,0.058548969124476206,0.953430578561798,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
